producer,plant_location,polymer_family,capacity_kta,status,last_updated,source_note
RIL,"Hazira/Jamnagar/Dahej (multiple sites)",ALL (PP+PE+PVC combined),5800,operating,2026-07-20,"RIL aggregate polymer capacity ~5.8 MTPA across PP/PE/PVC; plastemart.com/ril.com company profile"
RIL,Dahej,PVC,1500,under_construction,2026-07-20,"1.5 MTPA feedstock-integrated PVC expansion at Dahej+Jamnagar, phased completion targeted FY2026-27; polymerupdate.com"
RIL,Dahej,PET,1300,under_construction,2026-07-20,"1300 KTA PET plant at Dahej targeted for completion ~2026 (alongside 3500 KTA PTA feedstock plant); news search 2026"
IOCL,Paradip,PP,680,operating,2026-07-20,"680 KTA PP plant commissioned 2019; iocl.com/plastemart.com"
IOCL,Panipat,HDPE,300,operating,2026-07-20,"Dedicated HDPE (Basell/Hostalen slurry process) 300 KTA; iocl.com"
IOCL,Panipat,"HDPE/LLDPE swing",350,operating,2026-07-20,"LLDPE/HDPE swing unit 350 KTA; iocl.com"
HMEL,Bathinda,PP,970,operating,2026-07-20,"Combined PP capacity 970 KTA; hmel.in/polypropylene"
HMEL,Bathinda,HDPE,450,operating,2026-07-20,"Dedicated HDPE line 450 KTA; hmel.in/polyethylene"
HMEL,Bathinda,"HDPE/LLDPE swing",800,operating,2026-07-20,"Two swing lines x400 KTA each = 800 KTA combined; hmel.in/polyethylene"
HALDIA,Haldia (West Bengal),LLDPE,386,operating,2026-07-20,"Haldia Petrochemicals Ltd (HPL) cracker-fed LLDPE 386 KTA; grokipedia/plastemart"
HALDIA,Haldia (West Bengal),HDPE,334,operating,2026-07-20,"HPL HDPE 334 KTA"
HALDIA,Haldia (West Bengal),PP,341,operating,2026-07-20,"HPL PP 341 KTA; ethylene cracker feedstock 700 KTA"
OPAL,Dahej,"HDPE/LLDPE swing",720,operating,2026-07-20,"OPaL (ONGC Petro Additions) 2x360 KTA swing unit = 720 KTA combined"
OPAL,Dahej,HDPE,340,operating,2026-07-20,"OPaL dedicated HDPE 340 KTA"
OPAL,Dahej,PP,340,operating,2026-07-20,"OPaL dedicated PP 340 KTA"
GAIL,Pata (Uttar Pradesh),"HDPE/LLDPE",810,operating,2026-07-20,"GAIL Pata combined HDPE/LLDPE 0.81 MMTPA; industrialinfo.com"
GAIL,Pata (Uttar Pradesh),PP,60,under_construction,2026-07-20,"60 KTA PP plant under construction at Pata"
