date,polymer_family,producer,price,grade_count,price_type,notes,source
2025-07-01,HDPE,HMEL,98.72,484,producer_direct,HMEL_HDPE_2025-07-01.pdf,plastemart
2025-07-01,HDPE,IOCL,96.26,496,producer_direct,IOCL_LLDPE_2025-07-01.pdf,plastemart
2025-07-01,HDPE,OPAL,98.39,363,producer_direct,OPAL_HDPE_2025-07-01.pdf,plastemart
2025-07-01,HDPE,RIL,96.21,7580,producer_direct,RIL_PE_2025-07-01.xlsx,plastemart
2025-07-01,LDPE,RIL,113.83,6225,producer_direct,RIL_PE_2025-07-01.xlsx,plastemart
2025-07-01,LLDPE,HMEL,106.09,325,producer_direct,HMEL_LLDPE_2025-07-01.pdf,plastemart
2025-07-01,LLDPE,IOCL,101.6,744,producer_direct,IOCL_LLDPE_2025-07-01.pdf,plastemart
2025-07-01,LLDPE,OPAL,103.5,209,producer_direct,OPAL_HDPE_2025-07-01.pdf,plastemart
2025-07-01,LLDPE,RIL,103.41,9600,producer_direct,RIL_PE_2025-07-01.xlsx,plastemart
2025-07-01,PP,HMEL,106.18,606,producer_direct,HMEL_PP_2025-07-01.pdf,plastemart
2025-07-01,PP,IOCL,105.96,1054,producer_direct,IOCL_LLDPE_2025-07-01.pdf,plastemart
2025-07-01,PP,RIL,103.66,24000,producer_direct,RIL_PP_2025-07-01.xlsx,plastemart
2025-07-01,PVC,RIL,76.35,10579,producer_direct,RIL_PVC_2025-07-01.xlsx,plastemart
2025-07-10,HDPE,HMEL,100.36,484,producer_direct,HMEL_HDPE_2025-07-10.pdf,plastemart
2025-07-10,HDPE,IOCL,97.75,496,producer_direct,IOCL_LLDPE_2025-07-10.pdf,plastemart
2025-07-10,HDPE,OPAL,99.96,363,producer_direct,OPAL_HDPE_2025-07-10.pdf,plastemart
2025-07-10,HDPE,RIL,97.66,7581,producer_direct,RIL_PE_2025-07-10.xlsx,plastemart
2025-07-10,LDPE,RIL,114.64,6225,producer_direct,RIL_PE_2025-07-10.xlsx,plastemart
2025-07-10,LLDPE,HMEL,106.09,325,producer_direct,HMEL_LLDPE_2025-07-10.pdf,plastemart
2025-07-10,LLDPE,IOCL,102.1,744,producer_direct,IOCL_LLDPE_2025-07-10.pdf,plastemart
2025-07-10,LLDPE,OPAL,103.5,209,producer_direct,OPAL_HDPE_2025-07-10.pdf,plastemart
2025-07-10,LLDPE,RIL,103.42,9600,producer_direct,RIL_PE_2025-07-10.xlsx,plastemart
2025-07-10,PP,IOCL,105.96,1054,producer_direct,IOCL_LLDPE_2025-07-10.pdf,plastemart
2025-08-01,HDPE,OPAL,99.13,362,producer_direct,OPAL_HDPE_2025-08-01.pdf,plastemart
2025-08-01,HDPE,RIL,97.63,7581,producer_direct,RIL_PE_2025-08-01.xlsx,plastemart
