year,country,growth_pct
2006,India,8.06073257305057
2007,India,7.66081506510766
2008,India,3.08669805950082
2009,India,7.8618888330338
2010,India,8.49758470165625
2011,India,5.24131620024293
2012,India,5.45638755164772
2013,India,6.38610640091713
2014,India,7.41022760516977
2015,India,7.99625378567987
2016,India,8.25630550176662
2017,India,6.79538341902422
2018,India,6.45385134495295
2019,India,3.87143694070524
2020,India,-5.77772470687303
2021,India,9.68959249191741
2022,India,7.6093649776932
2023,India,7.210224629335
2024,India,7.09927893176518
2025,India,7.56666179284244
