period,partner_country,flow,qty_kg,value_usd
2024,Algeria,export,8307130.0,13104736.87
2024,Angola,export,76159.0,138592.557
2024,"Areas, nes",export,1568.0,20244.311
2024,Argentina,export,9600.0,26299.221
2024,Australia,export,178246.0,337314.138
2024,Australia,import,840999.0,678271.255
2024,Austria,export,175.566,293.295
2024,Austria,import,2093336.0,3296672.81
2024,Azerbaijan,export,70325.0,101686.82
2024,Bahamas,import,101080.0,52859.625
2024,Bahrain,export,401420.0,384584.847
2024,Bahrain,import,1479184.0,867106.613
2024,Bangladesh,export,36523995.0,36788957.87
2024,Bangladesh,import,3378140.0,2212811.215
2024,Barbados,import,50664.0,27715.626
2024,Belarus,export,393.0,41563.502
2024,Belgium,export,577070.0,1150062.672
2024,Belgium,import,25663882.0,41683947.196
2024,Benin,export,130279.0,128829.977
2024,Bhutan,export,1455250.0,1735183.935
2024,Botswana,export,148500.0,228229.992
2024,Brazil,export,773868.0,1421005.435
2024,Brazil,import,878706.0,1626684.766
2024,Burkina Faso,export,57118.0,66375.082
2024,Burundi,export,3670.0,5335.028
2024,Cabo Verde,export,1.0,7.025
2024,Cameroon,export,1102603.0,1553459.587
2024,Canada,export,172812.0,351080.813
2024,Canada,import,31267179.0,35241947.339
2024,Chad,export,400.0,37.524
2024,Chile,export,531650.0,945162.632
2024,China,export,162549482.0,151377051.54
2024,China,import,45202263.0,67767962.293
2024,"China, Hong Kong SAR",export,50.0,55.809
2024,"China, Hong Kong SAR",import,80486.0,72259.058
2024,Colombia,export,114432.0,214728.748
2024,Colombia,import,240.0,257.018
2024,Comoros,export,30026.0,42237.388
2024,Congo,export,84700.0,117512.099
2024,Costa Rica,export,4.0,50.196
2024,Costa Rica,import,47042.0,28516.238
2024,Cyprus,export,100.0,27.051
2024,Czechia,export,75.0,95.71
2024,Czechia,import,20404.0,145641.662
2024,Côte d'Ivoire,export,57000.0,73002.684
2024,Côte d'Ivoire,import,15280.0,9740.376
2024,Dem. People's Rep. of Korea,import,108000.0,273845.009
2024,Dem. Rep. of the Congo,export,365604.0,548346.736
2024,Denmark,export,15.085,230.496
2024,Denmark,import,5.0,83.108
2024,Djibouti,export,1431200.0,1484420.756
2024,Djibouti,import,57000.0,32072.261
2024,Dominican Rep.,import,231197.0,146845.951
2024,Ecuador,export,57708.0,405820.66
2024,Ecuador,import,628637.0,357044.343
2024,Egypt,export,12638530.0,21437592.242
2024,Egypt,import,82500.0,88224.253
2024,El Salvador,import,23587.0,12934.481
2024,Equatorial Guinea,export,7086.0,15847.07
2024,Equatorial Guinea,import,23110.0,13391.697
2024,Ethiopia,export,354000.0,420337.068
2024,FS Micronesia,export,5.0,214.799
2024,Fiji,export,41146.0,53342.35
2024,Finland,export,25.0,431.211
2024,Finland,import,2531270.0,6340189.029
2024,France,export,8215.0,31689.305
2024,France,import,18618342.0,31428145.622
2024,Gabon,export,4.0,34.147
2024,Gambia,export,319175.0,387142.425
2024,Georgia,export,714850.0,1237268.49
2024,Germany,export,4436.0,53449.473
2024,Germany,import,22429.115,26131.064
2024,Ghana,export,4672011.0,4509034.516
2024,Greece,export,597300.0,655927.768
2024,Greece,import,18145.0,6755.846
2024,Guatemala,export,109000.0,109360.521
2024,Guinea,export,523638.0,687610.942
2024,Guinea,import,72130.0,42055.253
2024,Guinea-Bissau,export,55500.0,76534.397
2024,Guyana,export,72544.0,107676.036
2024,Haiti,export,500.0,2065.84
2024,Honduras,import,21975.0,10014.056
2024,Hungary,export,500.0,508.07
2024,India,import,362041.0,442403.533
2024,Indonesia,export,1797037.0,2517993.436
2024,Indonesia,import,25871.0,16567.104
2024,Iran,import,17844842.0,20192908.023
2024,Iraq,export,32196.0,59906.647
2024,Ireland,export,1560.0,16117.596
2024,Ireland,import,49666.0,123828.368
2024,Israel,export,3779995.0,6596658.861
2024,Israel,import,4203585.0,7326317.502
2024,Italy,export,1958237.0,2095845.922
2024,Italy,import,2562189.0,6822570.96
2024,Japan,export,1159.0,2354.758
2024,Japan,import,38183819.0,67580754.281
2024,Jordan,export,156455.0,382785.285
2024,Jordan,import,205060.0,132563.134
2024,Kenya,export,27190051.0,28135303.621
2024,Kuwait,export,470809.0,926522.263
2024,Kuwait,import,99000.0,98106.241
2024,Kyrgyzstan,import,24750.0,26451.257
2024,Latvia,import,17863.0,10972.682
2024,Lebanon,export,7850.0,12543.83
2024,Lithuania,export,42650.0,84009.336
2024,Lithuania,import,51679.0,34034.213
2024,Luxembourg,export,1200.0,1011.552
2024,Madagascar,export,305213.0,329368.57
2024,Madagascar,import,49800.0,25502.609
2024,Malawi,export,182001.0,173386.505
2024,Malaysia,export,2210619.0,2178097.244
2024,Malaysia,import,75825300.0,71562596.026
2024,Maldives,export,445459.0,949849.449
2024,Maldives,import,18300.0,9896.46
2024,Malta,import,nan,4797.623
2024,Mauritania,export,6.0,357.187
2024,Mauritania,import,86080.0,49092.427
2024,Mauritius,export,269113.0,367849.962
2024,Mexico,export,25100.0,105203.213
2024,Mexico,import,140944.0,107319.896
2024,Morocco,export,260820.0,431880.465
2024,Mozambique,export,3240002.0,3152075.751
2024,Myanmar,export,781000.0,894039.289
2024,Namibia,export,544.0,3063.966
2024,Nauru,export,14600.0,17296.07
2024,Nepal,export,69931404.0,73166444.355
2024,Nepal,import,331500.0,83257.426
2024,Netherlands,export,87446.276,116312.893
2024,Netherlands,import,600.0,3189.646
2024,New Zealand,export,1360.0,3140.496
2024,New Zealand,import,417450.0,227779.672
2024,Nicaragua,import,94910.0,57513.448
2024,Nigeria,export,6364477.497,6496202.652
2024,Norway,export,5231.291,3986.292
