period,partner_country,flow,qty_kg,value_usd
2024,Afghanistan,export,225.0,89.403
2024,Algeria,export,277650.0,215802.746
2024,Angola,export,1536075.0,1393648.02
2024,"Areas, nes",export,4780.0,3900.125
2024,Argentina,export,94000.0,132950.338
2024,Australia,export,82518.0,189261.309
2024,Australia,import,942476.0,477661.897
2024,Austria,export,2.0,4.742
2024,Austria,import,84475.0,197488.299
2024,Bahrain,export,27418.0,68458.69
2024,Bahrain,import,504070.0,368433.951
2024,Bangladesh,export,47045483.0,45377453.917
2024,Belgium,export,681364.0,943412.514
2024,Belgium,import,25.0,75.577
2024,Benin,export,50.0,359.129
2024,Bhutan,export,1539001.0,1755956.438
2024,Brazil,export,1795423.196,1929042.894
2024,Brazil,import,820867.0,1691920.311
2024,Bulgaria,export,823270.0,827813.466
2024,Bulgaria,import,100.0,997.244
2024,Burundi,export,2500.0,2206.298
2024,Cameroon,export,1770740.0,2108757.883
2024,Canada,export,15467.0,42282.807
2024,Canada,import,236520.0,1363249.865
2024,Central African Rep.,export,750.0,602.956
2024,Chile,export,1248004.0,1162245.385
2024,China,export,20960901.0,21078524.678
2024,China,import,105144721.0,120506604.944
2024,"China, Hong Kong SAR",export,100.0,208.528
2024,"China, Hong Kong SAR",import,5265.0,10103.6
2024,Colombia,export,1033150.0,1095220.244
2024,Colombia,import,24800.0,16431.977
2024,Congo,export,156000.0,157896.61
2024,Congo,import,49424.0,31113.094
2024,Costa Rica,export,192000.0,260883.794
2024,Costa Rica,import,20662.0,13033.756
2024,Curaçao,import,49500.0,92717.592
2024,Czechia,export,9000.0,8714.551
2024,Czechia,import,225.0,339.396
2024,Côte d'Ivoire,export,979000.0,1050742.576
2024,Côte d'Ivoire,import,33860.0,22258.778
2024,Dem. Rep. of the Congo,export,999600.0,984315.792
2024,Denmark,export,47601.0,78373.036
2024,Denmark,import,156.571,1105.167
2024,Djibouti,export,10207200.0,10226199.878
2024,Ecuador,export,832000.0,759911.666
2024,Ecuador,import,68290.0,37516.965
2024,Egypt,export,1928093.0,2933535.869
2024,El Salvador,export,208000.0,205851.9
2024,Equatorial Guinea,export,470.0,1047.946
2024,Estonia,export,1200.0,14298.714
2024,Estonia,import,50.0,293.083
2024,Ethiopia,export,1461280.0,1480976.316
2024,Fiji,export,10.0,2.777
2024,Fiji,import,24940.0,14873.795
2024,Finland,export,750.0,560.302
2024,Finland,import,19800.0,97179.102
2024,France,export,48310.406,1060985.446
2024,France,import,1675.0,5770.428
2024,Gambia,export,25.0,299.119
2024,Georgia,import,160712.0,93243.677
2024,Germany,export,137158.082,260100.137
2024,Germany,import,1034876.0,4177520.94
2024,Ghana,export,2946540.0,2711254.416
2024,Ghana,import,307800.0,187542.961
2024,Greece,export,24800.0,23667.771
2024,Greece,import,100.0,214.376
2024,Guatemala,export,3325430.0,2978170.245
2024,Guinea,export,1259637.0,1198706.673
2024,Guinea,import,154045.0,72531.384
