period,partner_country,flow,qty_kg,value_usd
2024,Algeria,export,1702.0,12498.011
2024,Angola,export,508305.0,590892.656
2024,Australia,export,529.471,546.641
2024,Australia,import,472306.0,786787.544
2024,Austria,export,4250.0,14916.026
2024,Bahrain,export,40.0,3769.975
2024,Bahrain,import,26110.0,11268.682
2024,Bangladesh,export,1382733.0,3184921.314
2024,Bangladesh,import,30201000.0,26568597.22
2024,Belgium,export,113001.0,1266856.349
2024,Belgium,import,24333517.0,41054658.127
2024,Bhutan,export,17642.0,45791.234
2024,Brazil,export,458442.0,5966826.669
2024,Brazil,import,474937.031,550883.899
2024,Bulgaria,import,6000.0,31955.924
2024,Canada,export,339780.0,2293444.287
2024,Canada,import,2399281.0,1072268.436
2024,China,export,323766.301,5826929.406
2024,China,import,3450455.0,2996473.877
2024,"China, Hong Kong SAR",export,3250.0,23086.136
2024,"China, Hong Kong SAR",import,629374.0,1367515.12
2024,Colombia,import,6044836.0,4450015.213
2024,Costa Rica,import,299027.0,128981.966
2024,Dem. People's Rep. of Korea,import,22000.0,6251.706
2024,Dem. Rep. of the Congo,export,94915.0,130128.564
2024,Denmark,export,84562.0,831475.035
2024,Denmark,import,25.0,1084.305
2024,Djibouti,export,308500.0,297618.574
2024,Ecuador,export,100.0,24.18
2024,Ecuador,import,400.0,2491.121
2024,Egypt,export,193524.0,348093.024
2024,Egypt,import,2000000.0,1815342.295
2024,Ethiopia,export,47325.0,50750.707
2024,Fiji,export,2000.0,7738.535
2024,Finland,import,843.606,77247.065
2024,France,export,115401.064,2295228.517
2024,France,import,37677539.0,58202925.384
2024,Gambia,export,12.0,102.028
2024,Germany,export,4759898.146,63337920.407
2024,Germany,import,22739717.372,33288258.245
2024,Ghana,export,110728.0,168067.444
2024,Greece,export,6.0,507.0
2024,Guyana,export,5000.0,4100.146
2024,Honduras,import,223661.0,92196.578
2024,Hungary,export,2103.0,67917.555
2024,India,import,25.0,57.645
2024,Indonesia,export,100.0,164.25
2024,Indonesia,import,104842420.0,84765913.013
2024,Iran,export,360.0,3855.236
2024,Ireland,export,117972.0,1293650.096
2024,Ireland,import,30.0,387.027
2024,Israel,export,180339.0,370346.378
2024,Israel,import,330662.0,164030.379
2024,Italy,export,2861609.0,29225953.385
2024,Italy,import,1138746.0,5119960.167
2024,Japan,export,915567.0,23005477.269
2024,Japan,import,296340.0,327223.07
2024,Jordan,export,846.0,6784.157
2024,Kenya,export,4270169.0,4655625.285
2024,Kuwait,export,180000.0,280233.419
2024,Kuwait,import,108150.0,46857.853
2024,Latvia,export,200.0,396.805
2024,Libya,export,25150.0,31340.436
2024,Malawi,export,4000.0,3940.544
2024,Malaysia,export,100396.0,224369.32
2024,Malaysia,import,64359.0,47095.774
2024,Maldives,export,55030.0,72345.719
2024,Malta,export,3.0,16.273
2024,Mauritius,export,500.0,1835.015
2024,Mexico,export,154760.0,1411072.204
2024,Mexico,import,1339.0,51711.498
2024,Morocco,export,3088.094,4001.424
2024,Mozambique,export,141290.0,138707.446
2024,Nepal,export,7685060.0,8365149.386
2024,Netherlands,export,184750.0,1107556.711
2024,Netherlands,import,3000.0,148251.744
2024,New Zealand,export,6967.0,6817.244
2024,New Zealand,import,1.0,281.716
2024,Nigeria,export,3605151.0,3310861.247
2024,Norway,import,22172300.0,17888953.576
2024,Oman,export,130000.0,203450.264
2024,Oman,import,34055.0,16084.415
2024,"Other Asia, nes",export,47236.024,483030.013
2024,"Other Asia, nes",import,416692323.0,350050616.536
2024,Paraguay,export,210.0,4358.188
2024,Peru,export,9.0,1.306
2024,Philippines,export,2.0,111.183
2024,Philippines,import,1834000.0,2019694.27
2024,Poland,import,1467120.0,756658.304
2024,Portugal,import,2800184.0,2680852.543
2024,Qatar,export,76139.0,60570.39
2024,Qatar,import,180280.0,77123.151
2024,Rep. of Korea,export,34863.0,841158.166
2024,Rep. of Korea,import,367699596.0,307404053.459
2024,Romania,export,126106.0,1293609.713
2024,Russian Federation,export,49444.536,426522.421
2024,Russian Federation,import,27700.0,144492.959
2024,Saudi Arabia,export,1574046.0,2589199.853
2024,Saudi Arabia,import,25.0,388.969
2024,Senegal,export,984.0,1191.016
2024,Serbia,export,1.0,158.579
2024,Seychelles,export,100.0,1036.956
2024,Sierra Leone,export,128700.0,135566.891
2024,Singapore,export,67796.083,386354.592
2024,Singapore,import,3821273.0,4493273.519
2024,Slovenia,import,5.0,2120.967
2024,Somalia,export,2025.0,2658.136
2024,South Africa,export,115400.0,202082.408
2024,South Africa,import,1822800.0,1609832.686
2024,Spain,export,2509.0,126377.616
2024,Spain,import,185891.0,208462.981
2024,Sri Lanka,export,3146625.0,5040667.359
2024,Sri Lanka,import,666000.0,1243490.52
2024,Sudan,export,224750.0,251293.806
2024,Sweden,export,12000.0,198955.631
2024,Sweden,import,8503598.92,8422973.626
2024,Switzerland,export,42.0,241.945
2024,Switzerland,import,nan,212153.626
2024,Thailand,export,61319.0,469659.92
2024,Thailand,import,143330145.346,212223039.117
2024,Trinidad and Tobago,export,70.0,439.436
2024,Tunisia,import,127633.0,97039.268
2024,Türkiye,export,424543.0,4829515.319
2024,Türkiye,import,7301871.0,6662351.715
2024,USA,export,5033768.0,69135326.342
2024,USA,import,260698.0,255623.766
2024,Uganda,export,1243409.0,1381260.697
2024,Ukraine,export,5.0,24.298
2024,Ukraine,import,9000.0,527610.474
2024,United Arab Emirates,export,2241606.332,2821392.074
2024,United Arab Emirates,import,9787441.0,8285440.97
2024,United Kingdom,export,644461.258,11819428.183
2024,United Kingdom,import,1836178.0,1699224.398
2024,United Rep. of Tanzania,export,1559386.0,1921073.546
2024,Uruguay,export,19675.0,23942.627
2024,Uzbekistan,export,12200.0,14706.933
2024,Viet Nam,export,22602.0,549616.482
2024,Viet Nam,import,6436225.0,11669225.206
2024,Yemen,export,28000.0,21757.003
2024,Zambia,export,203082.0,242209.478
2024,Zimbabwe,export,82000.0,94796.234
2025,Algeria,export,114215.0,165157.416
2025,Angola,export,651370.0,731598.863
2025,Argentina,export,3.0,2122.377
2025,Australia,export,145.0,441.89
2025,Australia,import,295961.0,373607.759
2025,Austria,export,45750.0,138113.143
2025,Bahrain,export,893.637,2124.654
2025,Bahrain,import,186641.0,66638.829
2025,Bangladesh,export,1244226.0,2414461.011
2025,Bangladesh,import,8202000.0,6569425.146
2025,Belarus,export,1000.0,2128.422
2025,Belgium,export,344893.0,3565548.985
2025,Belgium,import,11564122.125,17424569.994
2025,Bhutan,export,16499.0,19590.116
2025,Botswana,export,2125.0,2431.733
2025,Brazil,export,438909.0,5360842.41
2025,Brazil,import,1600.0,2280.524
2025,Bulgaria,export,0.046,0.998
2025,Bulgaria,import,7920.0,39205.613
2025,Cameroon,export,60.0,70.96
2025,Canada,export,485140.0,3605394.374
2025,Canada,import,1802232.0,771465.193
2025,Chile,import,182000.0,72802.886
2025,China,export,397232.0,6537434.609
2025,China,import,1534384842.904,1095469510.932
2025,"China, Hong Kong SAR",export,1300.0,2914.584
2025,"China, Hong Kong SAR",import,525844.0,1086310.998
2025,Colombia,export,100.0,338.889
2025,Colombia,import,6478924.0,4758576.884
2025,Costa Rica,import,228823.0,101430.894
2025,Dem. Rep. of the Congo,export,26877.0,36821.264
2025,Denmark,export,90240.0,941931.688
2025,Djibouti,export,129000.0,138278.965
2025,Egypt,export,72803.0,571099.968
2025,Estonia,export,7.382,82.493
2025,Ethiopia,export,75000.0,72474.207
2025,Fiji,export,5.0,1.393
2025,Finland,import,1979.0,210961.218
2025,France,export,129414.0,1848752.365
2025,France,import,33077566.0,54043937.636
2025,Germany,export,5008082.0,72135241.368
2025,Germany,import,1465.813,1036.491
2025,Ghana,export,37581.0,90075.175
2025,Greece,export,24.0,1862.592
2025,Guinea,export,1011.0,8408.928
2025,Honduras,import,96633.0,33822.31
2025,Hungary,export,1750.0,77847.719
2025,Hungary,import,46560.0,18420.868
2025,India,import,269372.0,4533515.921
2025,Indonesia,export,2244.0,21151.234
2025,Indonesia,import,6015000.0,4478982.16
2025,Iran,export,452.0,1862.778
2025,Ireland,export,63762.0,568814.92
2025,Israel,export,1751194.0,1540203.275
2025,Israel,import,339685.0,162921.572
2025,Italy,export,2892139.089,32526978.036
2025,Italy,import,2035176.0,7669878.362
2025,Japan,export,839595.0,16814197.833
2025,Japan,import,1766740.0,1416618.791
2025,Jordan,export,63.0,4689.318
2025,Kazakhstan,export,40.0,64.374
2025,Kenya,export,7938488.0,8887935.851
2025,Kuwait,export,10553.0,17356.05
2025,Kuwait,import,70030.0,29834.866
2025,Lebanon,export,1540.0,5277.699
2025,Libya,export,84300.0,99701.379
2025,Lithuania,export,78.0,1499.729
2025,Madagascar,export,23840.0,8764.863
2025,Malaysia,export,80537.0,220165.588
2025,Malaysia,import,24516730.0,27671011.491
2025,Maldives,export,87.0,727.132
2025,Mali,export,25000.0,23969.232
2025,Malta,export,5.0,38.138
2025,Malta,import,13010.0,8054.652
2025,Mauritius,export,8467.18,8350.383
2025,Mexico,export,61273.0,797325.998
2025,Mexico,import,115525640.0,85489827.886
2025,Morocco,export,600.0,1435.392
2025,Mozambique,export,253950.0,263501.594
2025,Myanmar,export,10000.0,10879.163
2025,Nepal,export,7963065.0,8267613.146
2025,Netherlands,export,36045.0,315875.9
2025,Netherlands,import,22653697.0,44786230.368
2025,New Zealand,export,88.0,2857.404
2025,Nicaragua,import,91115.0,30220.587
2025,Nigeria,export,4633436.0,4305545.974
2025,Norway,export,1.0,382.091
2025,Norway,import,5370904.0,4311261.505
2025,Oman,export,375150.0,596690.832
2025,"Other Asia, nes",export,47982.0,430598.774
2025,"Other Asia, nes",import,306593432.0,233902696.285
2025,Philippines,import,18641500.0,14209935.377
2025,Poland,export,38014.0,579534.503
2025,Poland,import,1746871.0,1131135.081
2025,Portugal,export,604.0,776.485
2025,Portugal,import,1246630.0,3763648.469
2025,Qatar,export,296375.0,237476.006
