date,rate
2025-07-18,86.14
2025-07-21,86.29
2025-07-22,86.43
2025-07-23,86.42
2025-07-24,86.39
2025-07-25,86.51
2025-07-28,86.7
2025-07-29,86.85
2025-07-30,87.49
2025-07-31,87.63
2025-08-01,87.5
2025-08-04,87.65
2025-08-05,87.78
2025-08-06,87.72
2025-08-07,87.49
2025-08-08,87.62
2025-08-11,87.74
2025-08-12,87.7
2025-08-13,87.45
2025-08-14,87.57
2025-08-15,87.46
2025-08-18,87.38
2025-08-19,87.09
2025-08-20,87.06
2025-08-21,87.27
2025-08-22,87.53
2025-08-25,87.56
2025-08-26,87.62
2025-08-27,87.76
2025-08-28,87.57
2025-08-29,88.18
2025-09-01,88.19
2025-09-02,88.08
2025-09-03,88.03
2025-09-04,88.12
2025-09-05,88.24
2025-09-08,88.04
2025-09-09,88.17
2025-09-10,88.12
2025-09-11,88.43
2025-09-12,88.27
2025-09-15,88.14
2025-09-16,88.05
2025-09-17,87.85
2025-09-18,88.11
2025-09-19,88.16
2025-09-22,88.28
2025-09-23,88.77
2025-09-24,88.7
2025-09-25,88.69
2025-09-26,88.72
2025-09-29,88.75
2025-09-30,88.79
2025-10-01,88.72
2025-10-02,88.72
2025-10-03,88.78
2025-10-06,88.78
2025-10-07,88.75
2025-10-08,88.76
2025-10-09,88.8
2025-10-10,88.71
2025-10-13,88.69
2025-10-14,88.79
2025-10-15,88.06
2025-10-16,87.93
2025-10-17,88.0
2025-10-20,87.9
2025-10-21,87.97
2025-10-22,88.42
2025-10-23,87.82
2025-10-24,87.81
2025-10-27,88.25
2025-10-28,88.31
2025-10-29,88.23
2025-10-30,88.72
2025-10-31,88.72
2025-11-03,88.77
2025-11-04,88.71
2025-11-05,88.64
2025-11-06,88.57
2025-11-07,88.68
2025-11-10,88.68
2025-11-11,88.49
2025-11-12,88.61
2025-11-13,88.69
2025-11-14,88.68
2025-11-17,88.61
2025-11-18,88.56
2025-11-19,88.5
2025-11-20,88.71
2025-11-21,89.64
2025-11-24,89.15
2025-11-25,89.2
2025-11-26,89.2
2025-11-27,89.4
2025-11-28,89.48
2025-12-01,89.54
2025-12-02,89.95
2025-12-03,90.17
2025-12-04,89.87
2025-12-05,89.94
2025-12-08,90.04
2025-12-09,89.84
2025-12-10,89.91
2025-12-11,90.32
2025-12-12,90.53
2025-12-15,90.74
2025-12-16,90.92
2025-12-17,90.37
2025-12-18,90.26
